Licitações que incluem este item de material. > uri,Intenções de registro de preço que incluem este item de material. > uri,Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
/licitacoes/v1/licitacoes?item_material=11231,/licitacoes/v1/irps?item_material=11231,11231,"UNIDADE ARITIMETICA, UNIDADE ARITIMETICA","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,13153: UNIDADE ARITIMETICA,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11240,/licitacoes/v1/irps?item_material=11240,11240,"MICROCOMPUTADOR PESSOAL NETBOOK, UNIDADE DE CONTROLE DE ENTRADA E SAIDA D","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,13167: MICROCOMPUTADOR PESSOAL NETBOOK,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11258,/licitacoes/v1/irps?item_material=11258,11258,"UNIDADE LASER, UNIDADE DE CONTROLE DE PROCESSAMENTO DE","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,13169: UNIDADE LASER,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11266,/licitacoes/v1/irps?item_material=11266,11266,"CANAL DE DADOS, CANAL DE DADOS","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,4392: CANAL DE DADOS,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11274,/licitacoes/v1/irps?item_material=11274,11274,"MEMÓRIA RAM, MEMORIA PRINCIPAL","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,9597: MEMÓRIA RAM,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11282,/licitacoes/v1/irps?item_material=11282,11282,"MEMORIA ADICIONAL, MEMORIA ADICIONAL","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,9592: MEMORIA ADICIONAL,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11290,/licitacoes/v1/irps?item_material=11290,11290,"MEMORIA AUXILIAR, MEMORIA AUXILIAR","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,9593: MEMORIA AUXILIAR,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11304,/licitacoes/v1/irps?item_material=11304,11304,"MEMORIA EM DISCO, MEMORIA EM DISCO","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,9595: MEMORIA EM DISCO,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11312,/licitacoes/v1/irps?item_material=11312,11312,"MEMÓRIA EM CARTÃO MAGNÉTICO, MEMORIA EM CARTAO MAGNETICO","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,9594: MEMÓRIA EM CARTÃO MAGNÉTICO,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11320,/licitacoes/v1/irps?item_material=11320,11320,"MEMORIA EM DISCO CARTUCHO, MEMORIA EM DISCO CARTUCHO","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,9596: MEMORIA EM DISCO CARTUCHO,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11339,/licitacoes/v1/irps?item_material=11339,11339,"CONSOLE DE EQUIPAMENTO DE PROCESSAMENTO DE DADOS, CONSOLE DE EQUIPAMENTO DE PROCESSAMENTO","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,5780: CONSOLE DE EQUIPAMENTO DE PROCESSAMENTO DE DADOS,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11347,/licitacoes/v1/irps?item_material=11347,11347,"PAINEL DE CONTROLE PARA PROCESSAMENTO DE DADOS, PAINEL DE CONTROLE PARA PROCESSAMENTO DE","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,10293: PAINEL DE CONTROLE PARA PROCESSAMENTO DE DADOS,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11355,/licitacoes/v1/irps?item_material=11355,11355,"PAINEL PERIFERICO, PAINEL PERIFERICO","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,10311: PAINEL PERIFERICO,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11363,/licitacoes/v1/irps?item_material=11363,11363,"TECLADO, TECLADO COM CRT","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,12582: TECLADO,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11371,/licitacoes/v1/irps?item_material=11371,11371,"DEMODULADOR, MODULADOR / DEMODULADOR","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,9838: DEMODULADOR,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11410,/licitacoes/v1/irps?item_material=11410,11410,"INTERFACE - PROCESSAMENTO / TRANSFERENCIA DE DADOS, INTERFACE - PROCESSAMENTO / TRANSFERENCI","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,8435: INTERFACE - PROCESSAMENTO / TRANSFERENCIA DE DADOS,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11428,/licitacoes/v1/irps?item_material=11428,11428,"ACESSÓRIO / COMPONENTE PARA MICROCOMPUTADOR, MICROCOMPUTADOR - ACESSORIO / COMPONENTE","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7025: UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAÍDA DE DADOS,13598: ACESSÓRIO / COMPONENTE PARA MICROCOMPUTADOR,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11517,/licitacoes/v1/irps?item_material=11517,11517,"PERFURADOR, PERFURADORES","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7040: EQUIPAMENTOS PARA PERFURAÇÃO DE CARTÕES,10669: PERFURADOR,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11550,/licitacoes/v1/irps?item_material=11550,11550,"PERFURADOR FITA DE PAPEL, PERFURADORES DE FITA DE PAPEL","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7040: EQUIPAMENTOS PARA PERFURAÇÃO DE CARTÕES,10670: PERFURADOR FITA DE PAPEL,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11576,/licitacoes/v1/irps?item_material=11576,11576,"GRAVADOR FITA MAGNÉTICA, GRAVADORES DE FITA MAGNETICA","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7025: UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAÍDA DE DADOS,8095: GRAVADOR FITA MAGNÉTICA,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11584,/licitacoes/v1/irps?item_material=11584,11584,"GRAVADOR FITA CASSETE, GRAVADOR DE FITA CASSETE","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7035: EQUIPAMENTOS SUPORTES DE PROCESSAMENTO AUTOMÁTICO DE DADOS,8092: GRAVADOR FITA CASSETE,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11592,/licitacoes/v1/irps?item_material=11592,11592,"GRAVADOR DISQUETE, GRAVADOR DE DISQUETE","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7025: UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAÍDA DE DADOS,8091: GRAVADOR DISQUETE,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11606,/licitacoes/v1/irps?item_material=11606,11606,"MARCADOR CARACTERES MAGNÉTICOS, MARCADORES DE CARACTERES MAGNETICOS","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7040: EQUIPAMENTOS PARA PERFURAÇÃO DE CARTÕES,9372: MARCADOR CARACTERES MAGNÉTICOS,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11622,/licitacoes/v1/irps?item_material=11622,11622,"INTERPRETADORA CARTÕES, INTERPRETADORA DE CARTOES","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7035: EQUIPAMENTOS SUPORTES DE PROCESSAMENTO AUTOMÁTICO DE DADOS,8442: INTERPRETADORA CARTÕES,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11630,/licitacoes/v1/irps?item_material=11630,11630,"INTERCALADORA DE CARTOES, INTERCALADORA DE CARTOES","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7035: EQUIPAMENTOS SUPORTES DE PROCESSAMENTO AUTOMÁTICO DE DADOS,8432: INTERCALADORA DE CARTOES,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11665,/licitacoes/v1/irps?item_material=11665,11665,"CARTUCHO LIMPEZA, TAPE CLEANER","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7035: EQUIPAMENTOS SUPORTES DE PROCESSAMENTO AUTOMÁTICO DE DADOS,12547: CARTUCHO LIMPEZA,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12777,/licitacoes/v1/irps?item_material=12777,12777,"COMPONENTE DE ACESSO MEMORIA COMPUTADOR, COMPONENTE DE ACESSO MEMORIA COMPUTADOR","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7020: UNIDADES CENTRAIS DE PROCESSAMENTO DE DADOS ANALÓGICOS,5409: COMPONENTE DE ACESSO MEMORIA COMPUTADOR,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12785,/licitacoes/v1/irps?item_material=12785,12785,"ADAPTADOR TECLADO, PECA ADAPTADORA MACHO / FEMEA PARA EQUIP","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7025: UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAÍDA DE DADOS,10530: ADAPTADOR TECLADO,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12793,/licitacoes/v1/irps?item_material=12793,12793,"PECA PARA UNIDADE DE ALIMENTACAO DE CPU, PECA PARA UNIDADE DE ALIMENTACAO DE CPU","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7020: UNIDADES CENTRAIS DE PROCESSAMENTO DE DADOS ANALÓGICOS,10543: PECA PARA UNIDADE DE ALIMENTACAO DE CPU,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12807,/licitacoes/v1/irps?item_material=12807,12807,"ACESSORIO DE CONTROLE DE CPU, ACESSORIO DE CONTROLE DE CPU","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7020: UNIDADES CENTRAIS DE PROCESSAMENTO DE DADOS ANALÓGICOS,13510: ACESSORIO DE CONTROLE DE CPU,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12815,/licitacoes/v1/irps?item_material=12815,12815,"MODULO ADICIONAL, MODULO ADICIONAL","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7020: UNIDADES CENTRAIS DE PROCESSAMENTO DE DADOS ANALÓGICOS,9839: MODULO ADICIONAL,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12823,/licitacoes/v1/irps?item_material=12823,12823,"MULTIPLICADOR DE LINHA, MULTIPLICADOR DE LINHA","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7020: UNIDADES CENTRAIS DE PROCESSAMENTO DE DADOS ANALÓGICOS,10014: MULTIPLICADOR DE LINHA,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12840,/licitacoes/v1/irps?item_material=12840,12840,"PLACA DE CIRCUITO LOGICO, PLACA DE CIRCUITO LOGICO","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7020: UNIDADES CENTRAIS DE PROCESSAMENTO DE DADOS ANALÓGICOS,10824: PLACA DE CIRCUITO LOGICO,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12858,/licitacoes/v1/irps?item_material=12858,12858,"PROTECAO MEMORIA PARA UNIDADE DE PROCESSAMENTO DE DADOS, PROTECAO MEMORIA PARA UNIDADE DE PROCESS","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7020: UNIDADES CENTRAIS DE PROCESSAMENTO DE DADOS ANALÓGICOS,11284: PROTECAO MEMORIA PARA UNIDADE DE PROCESSAMENTO DE DADOS,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12874,/licitacoes/v1/irps?item_material=12874,12874,"RELÓGIO DE EQUIPAMENTO DE PROCESSAMENTO DE DADOS, RELOGIO DE EQUIPAMENTO DE PROCESSAMENTO","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7020: UNIDADES CENTRAIS DE PROCESSAMENTO DE DADOS ANALÓGICOS,11622: RELÓGIO DE EQUIPAMENTO DE PROCESSAMENTO DE DADOS,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12882,/licitacoes/v1/irps?item_material=12882,12882,"UNIDADE DE COMANDO, UNIDADE DE COMANDO","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7020: UNIDADES CENTRAIS DE PROCESSAMENTO DE DADOS ANALÓGICOS,13165: UNIDADE DE COMANDO,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12890,/licitacoes/v1/irps?item_material=12890,12890,"UNIDADE DE CONTROLE DE FITA MAGNETICA, UNIDADE DE CONTROLE DE FITA MAGNETICA","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7020: UNIDADES CENTRAIS DE PROCESSAMENTO DE DADOS ANALÓGICOS,13168: UNIDADE DE CONTROLE DE FITA MAGNETICA,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12904,/licitacoes/v1/irps?item_material=12904,12904,"CANETA PARA TOQUE TELA, CIRCUITO IMPRESSO PARA CONCENTRADOR DE T","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7045: ARTIGOS DIVERSOS PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,5042: CANETA PARA TOQUE TELA,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12912,/licitacoes/v1/irps?item_material=12912,12912,"PAINEL DE ESTRUTURACAO DE DADOS, PAINEL DE ESTRUTURACAO DE DADOS","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7020: UNIDADES CENTRAIS DE PROCESSAMENTO DE DADOS ANALÓGICOS,10295: PAINEL DE ESTRUTURACAO DE DADOS,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12920,/licitacoes/v1/irps?item_material=12920,12920,"COBERTURA DE ACRILICO PARA IMPRESSORA, COBERTURA DE ACRILICO PARA IMPRESSORA","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7020: UNIDADES CENTRAIS DE PROCESSAMENTO DE DADOS ANALÓGICOS,5287: COBERTURA DE ACRILICO PARA IMPRESSORA,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12939,/licitacoes/v1/irps?item_material=12939,12939,"PAINEL DE INFORMACAO DE DADOS, PAINEL DE INFORMACAO DE DADOS","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7020: UNIDADES CENTRAIS DE PROCESSAMENTO DE DADOS ANALÓGICOS,10297: PAINEL DE INFORMACAO DE DADOS,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12947,/licitacoes/v1/irps?item_material=12947,12947,"BASTIDOR EQUIPAMENTO PROCESSAMENTO DADOS, BASTIDOR DE EQUIPAMENTO DE PROCESSAMENTO","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7020: UNIDADES CENTRAIS DE PROCESSAMENTO DE DADOS ANALÓGICOS,3436: BASTIDOR EQUIPAMENTO PROCESSAMENTO DADOS,Ativo,Não
/licitacoes/v1/licitacoes?item_material=12955,/licitacoes/v1/irps?item_material=12955,12955,"CAIXA DE CONCENTRADOR DE TECLADO, CAIXA DE CONCENTRADOR DE TECLADO","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7035: EQUIPAMENTOS SUPORTES DE PROCESSAMENTO AUTOMÁTICO DE DADOS,4125: CAIXA DE CONCENTRADOR DE TECLADO,Ativo,Não
